                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.7799,                 3.1976,                 1.9791,                 1.5642,                0.54386,                   0.46,                0.51666,                0.22813,                0.31143,                   0.26,                0.17615,                0.05037,                 1.7208,                 3.0118,                 2.9111,                 1.7186,                0.00104,                0.00104,                0.00104
                     58,                  1.795,                  3.051,                 2.1626,                 1.6146,                0.56297,                   0.64,                0.61934,                0.30153,                0.41463,                0.49587,                0.30261,                0.09092,                 1.6821,                 2.7131,                 2.7579,                 1.7437,              0.0010329,              0.0010329,              0.0010329
                     59,                 1.7704,                 3.3153,                 2.1945,                 1.6837,                0.60598,                0.61524,                0.56595,                0.28084,                0.42781,                   0.48,                0.32361,                0.08759,                 1.7275,                 2.7904,                 2.7171,                 1.7162,              0.0010258,              0.0010258,              0.0010258
                     60,                 1.6872,                   3.05,                 2.1106,                 1.5948,                0.33844,                   0.64,                0.40408,                0.20243,                0.24325,                   0.46,                0.20973,                0.06051,                 1.7845,                 2.8031,                 3.1219,                 1.6734,              0.0010187,              0.0010187,              0.0010187
                     61,                 1.6751,                 2.9455,                 2.0438,                  1.546,                0.33844,                   0.64,                0.40408,                0.20243,                0.24325,                   0.46,                0.20973,                0.06051,                 1.7845,                 2.8031,                 3.1219,                 1.6734,              0.0010117,              0.0010117,              0.0010117
                     62,                 1.7987,                 3.3864,                 2.2073,                 1.5595,                0.27034,                   0.62,                0.32709,                0.17118,                0.25703,                   0.32,                0.19394,                0.05656,                  1.819,                 2.7683,                   3.09,                 1.6243,              0.0010046,              0.0010046,              0.0010046
                     63,                 1.7822,                 3.1341,                 2.2005,                 1.5996,                0.37829,                0.48684,                0.36278,                0.17365,                0.26579,                   0.34,                0.17392,                0.05592,                 1.7588,                 3.0462,                 2.7423,                  1.583,             0.00099751,             0.00099751,             0.00099751
                     64,                 1.6024,                 2.9822,                 2.0788,                 1.4841,                0.59995,                0.41991,                0.46245,                0.21629,                0.40454,                    0.3,                0.26156,                  0.081,                  1.845,                 3.4471,                 2.7601,                 1.6533,             0.00099044,             0.00099044,             0.00099044
                     65,                 1.8605,                 3.4837,                 2.1423,                 1.5643,                0.59995,                0.41991,                0.46245,                0.21629,                0.40454,                    0.3,                0.26156,                  0.081,                  1.845,                 3.4471,                 2.7601,                 1.6533,             0.00098337,             0.00098337,             0.00098337
                     66,                 1.7277,                 2.8232,                 1.9185,                 1.5871,                0.49713,                   0.54,                0.43179,                0.18678,                0.33733,                   0.32,                0.21844,                  0.076,                 1.9249,                 3.5068,                 3.1156,                 1.7776,             0.00097629,             0.00097629,             0.00097629
                     67,                 1.6809,                   3.32,                 2.0427,                 1.5399,                0.47427,                   0.44,                0.36841,                0.15858,                0.31281,                   0.24,                0.19628,                0.05513,                 1.9071,                 3.3466,                 3.2445,                 1.7336,             0.00096922,             0.00096922,             0.00096922
                     68,                 1.7535,                 3.2111,                 2.1146,                 1.5727,                0.40759,                    0.6,                0.44457,                0.22031,                0.24031,                   0.38,                0.22668,                0.07945,                 1.7983,                 2.8654,                 2.8919,                 1.6746,             0.00096215,             0.00096215,             0.00096215
                     69,                 1.5906,                 3.1965,                  1.875,                 1.4814,                0.40759,                    0.6,                0.44457,                0.22031,                0.24031,                   0.38,                0.22668,                0.07945,                 1.7983,                 2.8654,                 2.8919,                 1.6746,             0.00095507,             0.00095507,             0.00095507
                     70,                 1.6737,                 2.8516,                 1.9352,                 1.5612,                0.36417,                    0.6,                0.42202,                0.20212,                0.20181,                   0.34,                0.14332,                0.04641,                  1.756,                 2.7536,                 3.0626,                 1.6132,               0.000948,               0.000948,               0.000948
                     71,                 1.6532,                 2.9435,                 1.9327,                 1.4927,                0.57642,                0.40838,                0.43731,                0.20449,                0.35253,                   0.22,                0.14362,                0.04066,                 1.6708,                 2.9068,                 3.3744,                  1.562,             0.00094093,             0.00094093,             0.00094093
                     72,                 1.7051,                 3.0262,                 2.2014,                 1.6501,                0.57263,                   0.52,                 0.4484,                 0.2221,                0.24045,                   0.26,                0.14107,                0.04826,                 1.6336,                 2.9765,                 2.9721,                 1.5671,             0.00093385,             0.00093385,             0.00093385
                     73,                 1.6349,                 2.9421,                  1.843,                 1.4894,                0.57263,                   0.52,                 0.4484,                 0.2221,                0.24045,                   0.26,                0.14107,                0.04826,                 1.6336,                 2.9765,                 2.9721,                 1.5671,             0.00092678,             0.00092678,             0.00092678
                     74,                 1.6515,                 3.0424,                 1.7979,                 1.5208,                0.48942,                    0.5,                0.41769,                  0.207,                0.28277,                   0.28,                0.16089,                0.05286,                 1.6718,                 2.9549,                 2.6813,                 1.5928,              0.0009197,              0.0009197,              0.0009197
