                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 2.5743,                 3.4621,                 2.7414,                0.73093,                0.04762,                0.04943,                0.01442,                 2.5323,                  4.746,                 3.0328,              0.0010117,              0.0010117,              0.0010117
                     62,                 2.4396,                  3.941,                 2.8479,                0.38073,                0.09524,                0.04477,                 0.0141,                 2.6109,                  4.389,                 3.0288,              0.0010046,              0.0010046,              0.0010046
                     63,                 2.7535,                 3.7405,                 3.1834,                0.36943,                0.24048,                0.04524,                0.01456,                 2.6645,                 4.6699,                  3.005,             0.00099751,             0.00099751,             0.00099751
                     64,                 2.8771,                  3.528,                 3.0286,                0.36594,                0.12857,                0.05792,                0.01297,                 2.6968,                  4.379,                 3.0316,             0.00099044,             0.00099044,             0.00099044
                     65,                 2.7977,                 3.6118,                 2.7953,                  0.003,                0.81494,                0.03406,                0.00749,                 2.7502,                 4.3007,                 3.0518,             0.00098337,             0.00098337,             0.00098337
                     66,                 2.7051,                 3.3124,                 3.0361,                 0.3393,                0.04762,                0.05044,                0.01465,                 2.7872,                  4.314,                 3.0812,             0.00097629,             0.00097629,             0.00097629
                     67,                  2.774,                 3.7523,                 3.0673,                0.81126,                0.04762,                0.08305,                0.02181,                 2.7488,                 4.3597,                 3.1175,             0.00096922,             0.00096922,             0.00096922
                     68,                 2.5045,                 3.8173,                 2.8936,                0.74988,                0.07143,                0.07705,                0.02363,                 2.6113,                 4.5528,                 3.0872,             0.00096215,             0.00096215,             0.00096215
                     69,                 2.4926,                 3.6394,                 2.9102,                0.72205,                0.07143,                0.07216,                0.02046,                 2.5958,                 4.3691,                 2.9981,             0.00095507,             0.00095507,             0.00095507
                     70,                 2.9905,                 3.5842,                 3.1484,                0.37617,                0.23333,                0.07226,                0.02089,                 2.5231,                 4.3046,                 2.8948,               0.000948,               0.000948,               0.000948
                     71,                 1.9371,                  3.847,                  2.251,                0.38269,                0.23333,                0.06499,                0.01938,                 2.4215,                 4.2118,                  2.872,             0.00094093,             0.00094093,             0.00094093
                     72,                 2.6948,                 3.3951,                 2.9529,                0.41624,                0.14417,                0.05851,                0.01875,                 2.4517,                 3.8837,                 2.8808,             0.00093385,             0.00093385,             0.00093385
                     73,                 2.5984,                  3.332,                 2.8683,                0.37653,                0.09524,                0.05269,                0.01733,                 2.6589,                 4.0647,                 2.9803,             0.00092678,             0.00092678,             0.00092678
                     74,                 2.6195,                 4.2241,                 3.1139,                0.38224,                0.06174,                 0.0494,                0.01361,                 2.8084,                 4.4119,                 3.1537,              0.0009197,              0.0009197,              0.0009197
                     75,                 2.7512,                 3.3835,                 3.0744,                0.41102,                0.14286,                0.05164,                0.01434,                 2.8704,                  4.562,                 3.2136,             0.00091263,             0.00091263,             0.00091263
                     76,                 2.7992,                 3.5223,                 2.9303,                0.75746,                0.14286,                0.05526,                0.01769,                 2.7625,                 4.2451,                 3.0587,             0.00090556,             0.00090556,             0.00090556
