                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.4994,                 2.9944,                  1.757,                 1.4038,                0.80377,                0.65544,                 0.7488,                0.43164,                0.61572,                   0.48,                0.43067,                0.17594,                 1.4019,                 2.7085,                 1.9708,                 1.3174,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.4282,                 3.0704,                  1.609,                 1.3668,                0.84176,                   0.68,                0.80537,                0.47311,                0.60869,                   0.48,                0.43732,                0.18924,                 1.3875,                 2.7642,                 1.9421,                 1.3131,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.3431,                 2.6896,                 1.5935,                  1.319,                0.77731,                0.76801,                0.83627,                0.51699,                0.48184,                0.63241,                0.47762,                0.21067,                  1.319,                 2.6476,                  1.891,                 1.2827,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.3234,                 2.4884,                 1.6713,                 1.2779,                0.77731,                0.76801,                0.83627,                0.51699,                0.48184,                0.63241,                0.47762,                0.21067,                  1.319,                 2.6476,                  1.891,                 1.2827,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.2061,                 2.8996,                 1.4293,                 1.2184,                0.77911,                0.77604,                0.83767,                0.53381,                   0.62,                   0.62,                0.54164,                0.23885,                 1.2566,                   2.48,                 1.9021,                 1.2427,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.3519,                 2.5856,                  1.672,                 1.3016,                 0.8226,                   0.78,                0.84358,                0.53529,                0.61381,                0.60403,                0.52625,                0.23784,                 1.2193,                  2.419,                 1.8621,                 1.2118,             0.00028308,             0.00028308,             0.00028308
                     84,                  1.352,                 2.8752,                 1.6132,                 1.2862,                0.77288,                   0.78,                0.82799,                 0.5144,                 0.5926,                    0.6,                0.51261,                0.22947,                  1.209,                 2.4151,                 1.8346,                  1.199,             0.00026894,             0.00026894,             0.00026894
                     85,                  1.291,                 2.5234,                 1.3771,                 1.2046,                0.77288,                   0.78,                0.82799,                 0.5144,                 0.5926,                    0.6,                0.51261,                0.22947,                  1.209,                 2.4151,                 1.8346,                  1.199,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.2598,                 2.5405,                 1.6946,                 1.2643,                 0.7881,                0.81828,                0.83933,                0.52121,                  0.611,                0.59692,                0.49139,                0.21627,                 1.1956,                 2.4316,                 1.8112,                 1.1882,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.3676,                 2.9562,                 1.5473,                 1.2793,                0.76529,                0.84783,                0.85576,                0.55385,                0.62637,                   0.58,                0.51482,                0.22083,                 1.1611,                    2.4,                 1.7347,                  1.162,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.2452,                 2.3663,                 1.4928,                 1.2291,                0.89359,                0.83974,                0.88339,                 0.5877,                0.70167,                0.65859,                0.61368,                0.25182,                 1.1265,                 2.3356,                  1.632,                 1.1365,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.2647,                 2.8452,                 1.5234,                 1.2237,                0.89359,                0.83974,                0.88339,                 0.5877,                0.70167,                0.65859,                0.61368,                0.25182,                 1.1265,                 2.3356,                  1.632,                 1.1365,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.2978,                 2.6549,                 1.4745,                 1.2112,                0.87312,                   0.86,                0.90691,                0.63821,                0.71642,                   0.68,                0.68419,                0.28967,                 1.1169,                 2.2631,                 1.5634,                 1.1249,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.2119,                 2.5117,                 1.7838,                 1.3143,                0.86781,                0.91912,                0.91575,                0.64948,                0.66821,                   0.74,                0.69741,                0.30833,                 1.1138,                 2.2053,                 1.5276,                 1.1207,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.2445,                 2.5784,                 1.7169,                 1.2458,                0.85039,                   0.94,                0.93166,                0.65682,                0.67866,                0.76031,                0.70411,                0.31155,                 1.1155,                  2.159,                 1.4803,                 1.1167,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.2234,                  2.509,                 1.7026,                  1.279,                0.85039,                   0.94,                0.93166,                0.65682,                0.67866,                0.76031,                0.70411,                0.31155,                 1.1155,                  2.159,                 1.4803,                 1.1167,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.2591,                 2.7193,                 1.7065,                 1.2846,                0.85256,                0.92529,                0.94235,                0.65499,                  0.708,                0.77597,                0.72573,                0.31975,                 1.1387,                 2.1293,                 1.4449,                 1.1234,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.1369,                  2.496,                 1.5948,                 1.1696,                 0.9183,                0.89924,                 0.9449,                0.65828,                 0.7049,                0.76446,                0.74935,                0.32343,                 1.1553,                 2.1116,                 1.4447,                 1.1297,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.1551,                 2.6651,                 1.6074,                 1.2005,                0.90807,                   0.92,                0.94908,                0.65678,                0.76718,                   0.78,                0.76802,                0.31718,                 1.1579,                 2.0974,                 1.4568,                 1.1351,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.2115,                 2.4612,                 1.7201,                 1.2833,                0.90807,                   0.92,                0.94908,                0.65678,                0.76718,                   0.78,                0.76802,                0.31718,                 1.1579,                 2.0974,                 1.4568,                 1.1351,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.1659,                 2.3706,                 1.5119,                  1.178,                0.92047,                0.92602,                0.95323,                0.66345,                0.78175,                 0.7881,                 0.7681,                0.31848,                 1.1527,                 2.0749,                 1.4506,                 1.1348,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.1217,                 2.2985,                  1.612,                 1.2303,                0.92041,                0.92527,                0.95563,                0.66285,                0.78146,                0.78678,                0.76975,                0.32784,                 1.1458,                 2.0537,                  1.444,                 1.1324,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.1016,                  2.565,                 1.5309,                 1.1631,                0.92653,                   0.92,                0.95913,                0.67057,                0.79089,                0.83216,                0.81264,                0.33809,                 1.1388,                 2.0359,                 1.4307,                 1.1298,             4.2584e-05,             4.2584e-05,             4.2584e-05
