                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 2.7031,                 3.4903,                 3.0127,                0.77735,                0.07143,                0.12696,                0.04029,                 2.4806,                  3.933,                 2.7752,             0.00039626,             0.00039626,             0.00039626
                     76,                 2.7717,                 3.4786,                 2.9616,                0.07122,                0.21667,                0.13118,                0.04352,                 2.5013,                 3.9684,                 2.7838,             0.00038211,             0.00038211,             0.00038211
                     77,                 2.7397,                 3.2563,                 2.7403,                0.42351,                0.23333,                0.13539,                0.04131,                 2.5118,                 3.9836,                 2.7635,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.8895,                 3.9669,                 2.1829,                0.43665,                0.23333,                0.13197,                0.04333,                 2.4351,                 3.8423,                 2.7316,             0.00035382,             0.00035382,             0.00035382
                     79,                 2.7329,                 3.4375,                 2.9367,                0.46563,                0.26641,                 0.1394,                0.04683,                 2.3972,                 3.6688,                 2.6973,             0.00033967,             0.00033967,             0.00033967
                     80,                 2.4142,                 3.4534,                 2.9126,                0.40642,                0.25714,                0.11844,                0.03883,                 2.4568,                 3.5422,                 2.7463,             0.00032553,             0.00032553,             0.00032553
                     81,                 2.6895,                 3.2939,                  2.934,                0.46836,                0.15952,                0.09318,                0.02804,                 2.5244,                 3.7716,                 2.8161,             0.00031138,             0.00031138,             0.00031138
                     82,                 2.6423,                 3.6593,                  3.071,                0.51291,                0.15952,                  0.084,                0.02579,                 2.5299,                 3.9228,                 2.8213,             0.00029723,             0.00029723,             0.00029723
                     83,                 2.4419,                  3.276,                 2.8493,                0.53527,                 0.1119,                 0.1004,                0.02998,                  2.449,                 3.9007,                 2.7574,             0.00028308,             0.00028308,             0.00028308
                     84,                 2.5799,                 3.5006,                 2.9581,                0.46342,                 0.1119,                0.10514,                0.03594,                 2.3198,                 3.7258,                 2.6626,             0.00026894,             0.00026894,             0.00026894
                     85,                 2.5837,                 3.3419,                 2.9701,                0.45302,                0.18383,                0.12788,                0.04058,                 2.2777,                 3.4539,                 2.5897,             0.00025479,             0.00025479,             0.00025479
                     86,                 2.8592,                 3.2207,                 2.9502,                0.46668,                0.22857,                0.17389,                 0.0555,                 2.2736,                 3.4165,                 2.5752,             0.00024064,             0.00024064,             0.00024064
                     87,                 2.7598,                 3.6144,                 3.0661,                0.52777,                 0.2381,                 0.1989,                0.06437,                 2.3072,                 3.4372,                 2.5933,              0.0002265,              0.0002265,              0.0002265
                     88,                 2.6775,                 3.5135,                 2.7855,                0.54397,                0.20476,                0.20225,                0.06846,                 2.2931,                 3.4331,                 2.5935,             0.00021235,             0.00021235,             0.00021235
                     89,                  2.298,                 3.5517,                 2.9587,                0.56368,                0.22391,                0.19271,                0.06793,                 2.2714,                 3.4085,                 2.5908,              0.0001982,              0.0001982,              0.0001982
                     90,                 2.4748,                 3.3687,                 2.6878,                0.53278,                0.18915,                0.18009,                0.06221,                 2.2667,                 3.4227,                 2.5983,             0.00018406,             0.00018406,             0.00018406
                     91,                 2.2414,                 3.9087,                 2.5962,                0.51441,                0.14524,                0.18218,                0.06168,                 2.2941,                 3.3998,                 2.6292,             0.00016991,             0.00016991,             0.00016991
                     92,                  2.589,                 3.5269,                 2.8992,                0.54795,                0.14524,                   0.18,                0.06475,                 2.3486,                 3.4591,                 2.6667,             0.00015576,             0.00015576,             0.00015576
                     93,                 2.3387,                 3.6337,                 2.8813,                0.49956,                 0.1119,                0.14844,                 0.0489,                 2.4467,                 3.6293,                 2.7564,             0.00014161,             0.00014161,             0.00014161
                     94,                 2.4043,                 3.7523,                 2.7884,                 0.4786,                0.12857,                  0.139,                 0.0448,                 2.5522,                 3.8013,                 2.8516,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.8879,                 4.2051,                 2.2753,                0.50449,                0.14882,                0.14504,                0.03716,                  2.564,                 3.8128,                 2.8691,             0.00011332,             0.00011332,             0.00011332
                     96,                 2.7182,                 3.5422,                 2.9898,                0.59254,                 0.1749,                0.14928,                0.03852,                  2.545,                 3.7467,                 2.8493,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.7672,                 3.8632,                 2.1096,                0.56725,                0.19524,                0.15458,                0.04269,                 2.4551,                 3.5891,                 2.7674,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 2.8142,                 3.6836,                 2.8357,                0.57613,                0.29524,                0.17673,                0.05347,                 2.3838,                 3.4394,                 2.7042,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 2.5642,                  3.715,                 2.8639,                0.61089,                 0.2881,                0.21415,                0.06672,                 2.3556,                 3.3917,                 2.6717,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.7492,                 3.9422,                 2.1088,                0.55977,                0.32857,                0.23169,                0.07098,                 2.3066,                  3.393,                 2.6389,             4.2584e-05,             4.2584e-05,             4.2584e-05
